Washington Irving Mid Sch Math Music and Engr Magnet,Los Angeles,90065,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647336058077
Walt Tyler Elementary,Grizzly Flat,95636,https://www.greatschools.org/california/grizzly-flat/702-Walt-Tyler-Elementary-School/
Mountain Park,Monrovia,91016,https://www.greatschools.org/california/monrovia/11746-Mountain-Park-School/
Frank L. Huff Elementary,Mountain View,94040,https://www.greatschools.org/california/mountain-view/10862-Frank-L.-Huff-Elementary-School/
Mountain Vista Educational Center,Madera,93637,https://www.greatschools.org/california/madera/25453-Mountain-Vista-Educational-Center/
Lomita Park Elementary,San Bruno,94066,https://www.greatschools.org/california/san-bruno/6905-Lomita-Park-Elementary-School/
Los Berros Visual and Performing Arts Academy,Lompoc,93436,https://www.cde.ca.gov/schooldirectory/details?cdscode=42692296045660
Harold McAlister High (Opportunity),Los Angeles,90057,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647331930619
Pride Continuation,Stockton,95215,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39685770118307
Grass Valley Elementary,Oakland,94605,https://www.greatschools.org/california/oakland/212-Grass-Valley-Elementary-School/
Scholar Plus Online Learning,Perris,92570,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=33672070134981
Adelante High,Kettleman City,93239,https://www.cde.ca.gov/schooldirectory/details?cdscode=16739321630110
Seventy-Fifth Street Elementary,Los Angeles,90003,https://www.greatschools.org/california/los-angeles/2382-Seventy-Fifth-Street-Elementary-School/
Danny J. Bakewell Sr. Primary Center,Los Angeles,90044,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647330109231
Soc Just Leadership Acad at Esteban E. Torres High #5,Los Angeles,90063,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330122366
Hollenbeck Middle,Los Angeles,90023,https://explorelausd.schoolmint.net/school-finder/schools/1414/hollenbeck-middle-school
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,Los Angeles,90027,https://explorelausd.schoolmint.net/school-finder/schools/1510/los-feliz-science%2Ftech%2Fengineer%2Fmath%2Fmedicine-magnet
Orville Wright Engineering and Design Magnet,Los Angeles,90045,https://www.greatschools.org/california/los-angeles/2503-Orville-Wright-Engineering-And-Design-Magnet/
George S. Patton Continuation,Harbor City,90710,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647331931518
Baldwin (Julia) Elementary,San Jose,95119,https://www.greatschools.org/california/san-jose/5583-Baldwin-Julia-Elementary-School/
Palermo Union Community Day (K-8),Palermo,95968,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=04615236115034
River Delta High/Elementary (Alternative),Rio Vista,95615,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34674133430469
Turtle Bay,Redding,96003,https://www.turtlebay.org/
Major Lynn Mokler,Paramount,90723,https://www.greatschools.org/california/paramount/2770-Major-Lynn-Mokler-School/
Needles Community Day,Needles,92363,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=36678010132720
Chaparral Elementary,Palmdale,93550,https://www.greatschools.org/california/palmdale/2743-Chaparral-Elementary-School/
Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,Huntington Park,90255,https://www.cde.ca.gov/schooldirectory/details?cdscode=19647330126516
Sunrise (Special Education),Concord,94519,https://www.cde.ca.gov/schooldirectory/details?cdscode=07617546004238
Slater Special Education Preschool,Mountain View,94043,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43695910121889
Harding Elementary,El Cerrito,94530,https://www.greatschools.org/california/el-cerrito/583-Harding-Elementary-School/
Mark West Charter,Santa Rosa,95403,https://www.greatschools.org/california/santa-rosa/14476-Mark-West-Charter-School/
Morris Elementary,McKinleyville,95519,https://www.cde.ca.gov/schooldirectory/details?cdscode=12629506008072
Summerwind Elementary,Palmdale,93551,https://www.greatschools.org/california/palmdale/2756-Summerwind-Elementary-School/
Kashia Elementary,Stewarts Point,95480,https://www.scoe.org/pub/district/41
Summit High (Continuation),Concord,94521,https://www.greatschools.org/california/concord/501-Summit-High-Continuation-School/
Landmark Elementary,Watsonville,95076,https://www.pvusd.net/landmark
Aggeler Community Day,Chatsworth,91311,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330102137
Sixth Grade Charter Academy at Petaluma Jr. High,Petaluma,94952,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=49708540124339
Cleveland Elementary,Pasadena,91103,https://www.greatschools.org/california/pasadena/2780-Cleveland-Elementary-School/
